Name,Title,Company
Aaron Bigbee,CIO,Rainwater Charitable Foundation
Abbas Haider Ali,Senior Vice President Customer Success,GitHub
Adam Aarons,,
Adam Kalbermatten,CCO,KORU Medical Systems
Adam Maskatiya,Regional Vice President,Alteryx
Adam Mavrikos,Owner,Orange Growth Advisory
Adam Schoenfeld,CEO & Co-Founder,Keyplay
Aileen Allen,,
AJ Bruno,Founder & CEO,QuotaPath
Akira Mamizuka,"Vice President of Global Sales Operations, SaaS",LinkedIn
Al Seden,CGO,Astreya
Aleksandr Sukennik,CIO,Semrush
Alex Goode,Co-Founder & CEO,Palm
Alex Newman,Chief of Staff,Disco
Ali Ghotbi,"Senior Vice President Sales, Americas",Box
Alison Derbenwick Miller,Chief Research Officer,Elev8Data
Alison Elworthy,Chief of Staff and EVP of Strategy,HubSpot
Allison Pickens,Founder & General Partner,Allison Pickens Ventures
Alyssa Merwin,"Vice President, Global Sales Solutions",LinkedIn
Aman Kandola,Co-Founder,Tether
Amanda Georgoff,CRO,RadarFirst
Amer Mkhalalati,"Senior Vice President and General Manager, In-Home Trades",ServiceTitan
Amir Kazemi,"Director, Product Marketing",Cycode
Amir Younes,CCO,Sendoso
Amit Kumar,"Head of Digital, Fidelity Wealth Solutions",Fidelity Investments
Amit Singh,Chief Business Officer,Palo Alto Networks
Amy Appleyard,CRO,LastPass
Amy Wong,Head of Demand Generation,Firebolt
An Bui,Vice President Marketing Strategy,First Tech Federal Credit Union
Anand Shah,Co-founder and CEO,Databook
Andrea Marron,Founder,Andrea Marron
Andrew Bennett,,
Andrew Charnesky,Co-Founder & Partner,Grafton Street Partners
Andrew Ettinger,Founder and CEO,Game Plan Partners
Andrew Parker,Consulting CFO,Accurx
Andrew Rains,CRO,Ocrolus
Andrew Schwartzberg,Owner,Preservation Services
Andrew Shorkey,Chief Revenue Officer,Writer
Andy Jolls,Founder,Roxology
Andy Keil,Co-Founder,Dream
Andy Mills,Co Founder,Mango Fund
Angie Grech,,
Anjai,,
"Anjai ""AJ"" Gandhi",Co-Founder,GTM Leader Society
Ann Ruckstuhl,,
Anna McFarlane,,
Anne DelSanto,"fmr Executive Vice President and GM, Platform",Salesforce
Anne Dorff,"Regional Vice President, Strategic Sales East",WRITER
Anthony Brugnoli,"Global Vice President of Sales, Product Stewardship and Life Cycle Assessment",Sphera
Anthony DeMarco,"Business Leader, Keynote Speaker, Predictive Modeling Expert",
Anthony Fernicola,"President, Chief Customer Officer",Salesforce
Armando Mann,Founder & CEO,EVAS global
Art Harding,CRO,GrowthLoop
Ash Howard,Enterprise Sales - West,DevRev
Asha May,"Director, Global Customer Marketing",BitSight
Ashley Kramer,Revenue Leader,OpenAI
Avery Kepple,GTM & Operations,375ai
Avi Mally,CEO,Three Pillars Recruiting
Baxter Denney,"Group Vice President, Marketing",New Relic
Ben Grande,Sales Leader,Neat
Ben Miller,CEO,Miller Growth Advisory
Ben Pierce,"Global Assistant Vice President, Adaptive",Workday
Ben Volkman,,
Ben Wright,Director,Ben Wright Consulting
Benjamin Fritz,,
Bernd Leger,,
Beth Dragan,,
